Titel,Beschreibung,Modul,Tags,Typ
Modul D: Erweiterte KI-Steuerung,"Fortgeschrittene Befehle für Rollenspiel, kritische Analyse und Parametersteuerung",Modul D: KI-Steuerung,Erweitert,Dokumentation
"🧪 Drei-Phasen-Test: Optimierung, Visualisierung & Analyse","Komplexer Test mit Code-Modifikation, Visualisierung und akademischer Erklärung",Beispiele & Tests,"Analyse, Optimierung, Visualisierung",Test
CompText-Codex: Übersicht & Weiterentwicklung,Gesamtübersicht und Hinweise zur Weiterentwicklung der DSL,Beispiele & Tests,Core,Dokumentation
Modul B: Programmier- & Datenverarbeitung,"Befehle für Code-Generierung, Debugging, Modifikation und Optimierung",Modul B: Programmierung,Core,Dokumentation
Modul A: Allgemeine Befehle & Formatierung,"Universelle Befehle für Zusammenfassungen, Übersetzungen, Formatierung und Stil",Modul A: Allgemeine Befehle,Core,Dokumentation
Modul C: Visualisierung & Grafik,Befehle für die Erstellung und Anpassung von Datenvisualisierungen,Modul C: Visualisierung,"Core, Visualisierung",Dokumentation
Beispiel: Zusammenfassung mit Stil-Variationen,Praktische Beispiele für Zusammenfassungen in verschiedenen Stilen,Modul A: Allgemeine Befehle,Core,Beispiel
Quick Reference: Alle Befehle auf einen Blick,Kompakte Übersicht aller CompText-Befehle für schnellen Zugriff,Beispiele & Tests,Core,Referenz
Beispiel: Kritische Analyse mit Expertenrolle,Verwendung von Rollenspielen und kritischer Analyse,Modul D: KI-Steuerung,"Analyse, Erweitert",Beispiel
Beispiel: Visualisierungs-Pipeline,Vollständige Pipeline von Datenaufbereitung bis zur Visualisierung,Modul C: Visualisierung,Visualisierung,Beispiel
Beispiel: Multi-Language Code-Generierung,Code-Generierung für dieselbe Aufgabe in verschiedenen Programmiersprachen,Modul B: Programmierung,Core,Beispiel
Modul H: Database & Data Modeling,"Befehle für Datenbankdesign, Schema-Erstellung und Datenmodellierung",Modul H: Database & Data Modeling,Core,Dokumentation
Modul I: Security & Compliance,"Befehle für Sicherheitsanalyse, Compliance-Checks und Best Practices",Modul I: Security & Compliance,Erweitert,Dokumentation
Modul J: DevOps & Deployment,"Befehle für CI/CD, Container-Orchestrierung und Infrastructure as Code",Modul J: DevOps & Deployment,Erweitert,Dokumentation
Modul F: Dokumentation & Reporting,"Befehle für automatisierte Dokumentation, Berichte und technische Spezifikationen",Modul F: Dokumentation,Core,Dokumentation
Modul G: Testing & Quality Assurance,"Befehle für Unit-Tests, Integration-Tests und Code-Qualitätsprüfung",Modul G: Testing & QA,Core,Dokumentation
Modul E: Datenanalyse & Machine Learning,"Spezialisierte Befehle für Datenanalyse, statistische Auswertungen und ML-Workflows",Modul E: Datenanalyse & ML,"Analyse, Erweitert",Dokumentation
Beispiel: Vollständige API-Dokumentation,Automatische Generierung einer strukturierten API-Dokumentation,Modul F: Dokumentation,Core,Beispiel
Beispiel: GDPR Compliance Implementation,Implementierung von GDPR-konformen Datenschutzfunktionen,Modul I: Security & Compliance,Erweitert,Beispiel
Beispiel: PostgreSQL Schema-Design,Vollständiges Datenbankschema für E-Commerce-System,Modul H: Database & Data Modeling,Core,Beispiel
Beispiel: End-to-End Testing mit Jest,Vollständige Test-Suite für eine Web-Anwendung,Modul G: Testing & QA,Core,Beispiel
Beispiel: ML-Pipeline mit Preprocessing & Training,Vollständiger ML-Workflow von Datenaufbereitung bis Modell-Evaluierung,Modul E: Datenanalyse & ML,"Analyse, Erweitert",Beispiel
Beispiel: Kubernetes CI/CD Pipeline,Vollständige CI/CD Pipeline mit GitHub Actions und Kubernetes Deployment,Modul J: DevOps & Deployment,Erweitert,Beispiel
Erweiterte CompText-Kombinationen,Komplexe Multi-Modul-Kombinationen für fortgeschrittene Workflows,Beispiele & Tests,"Core, Erweitert",Referenz
CompText vs. Natürliche Sprache: Vergleich,Direkter Effizienzvergleich zwischen CompText und natürlicher Sprache,Beispiele & Tests,"Analyse, Core",Test
Modul K: Frontend & UI Development,"Befehle für Frontend-Entwicklung, UI-Komponenten und responsive Design",Modul K: Frontend & UI,Core,Dokumentation
Beispiel: Apache Airflow ETL Pipeline,"Vollständige ETL-Pipeline mit Airflow, PostgreSQL und S3",Modul L: Data Pipelines & ETL,"Analyse, Erweitert",Beispiel
Beispiel: React Dashboard mit Tailwind,"Vollständiges responsive Dashboard mit React, Tailwind und Recharts",Modul K: Frontend & UI,Core,Beispiel
Modul L: Data Pipelines & ETL,"Befehle für Daten-Pipelines, ETL-Prozesse und Data Warehousing",Modul L: Data Pipelines & ETL,"Analyse, Erweitert",Dokumentation
CompText-Codex: Vollständige Befehlsreferenz,Alphabetisch sortierte Gesamtübersicht aller CompText-Befehle,Beispiele & Tests,Core,Referenz
🧪 Validierungstest: CompText V3.5.1 Syntax,Systematische Validierung aller Kürzel und Syntax-Regeln,Beispiele & Tests,"Analyse, Core",Test
Modul M: MCP Integration & Server,"Befehle für Model Context Protocol Server, Clients, Tools und Resources",Modul M: MCP Integration,"Core, Erweitert",Dokumentation
Beispiel: MCP Server für Claude Desktop,Vollständiger MCP Server mit Tools und Resources für Claude Desktop Integration,Modul M: MCP Integration,"Core, Erweitert",Beispiel
🧪 MCP Modul Validierungstest,Systematische Validierung aller MCP-Kürzel und Syntax-Regeln,Modul M: MCP Integration,"Analyse, Core",Test
Beispiel: MCP Server mit SSE (TypeScript),Web-basierter MCP Server mit Server-Sent Events und OAuth2 Authentifizierung,Modul M: MCP Integration,Erweitert,Beispiel
Beispiel: Multi-Agent Diskussionssystem,Mehrere KI-Rollen diskutieren ein Thema mit strukturierter Kritik,Modul D: KI-Steuerung,Erweitert,Beispiel
Beispiel: Multi-Style Übersetzung,Derselbe Text in verschiedenen Stilen und Sprachen übersetzt,Modul A: Allgemeine Befehle,Core,Beispiel
Beispiel: Code-Refactoring mit Performance-Analyse,Systematisches Refactoring mit Before/After Vergleich und Performance-Metriken,Modul B: Programmierung,"Erweitert, Optimierung",Beispiel
Beispiel: End-to-End ML-Projekt mit AutoML,Komplettes ML-Projekt von Datenakquise bis Deployment mit automatischer Modell-Selektion,Modul E: Datenanalyse & ML,"Analyse, Erweitert",Beispiel
Beispiel: Interaktives Dashboard mit Echtzeit-Updates,Multi-Chart Dashboard mit verschiedenen Visualisierungstypen und Live-Daten,Modul C: Visualisierung,"Erweitert, Visualisierung",Beispiel
🧪 Modul B: Programmier-Validierungstest,Systematische Validierung aller Programmier-Befehle über verschiedene Sprachen,Modul B: Programmierung,Core,Test
Beispiel: Technische Spezifikation mit Diagrammen,Vollständige technische Spezifikation für Softwareprojekt mit Architekturdiagrammen,Modul F: Dokumentation,Core,Beispiel
🧪 Modul A: Validierungstest,Systematische Validierung aller Modul A Befehle und Kombinationen,Modul A: Allgemeine Befehle,Core,Test
Beispiel: TDD Workflow mit Coverage-Report,Test-Driven Development Workflow von Red-Green-Refactor mit Coverage-Analyse,Modul G: Testing & QA,Core,Beispiel
📚 Quick Reference: Befehls-Kombinationen,Kompakte Übersicht der häufigsten und mächtigsten Befehls-Kombinationen,Beispiele & Tests,Core,Referenz
🧪 Modul C-E: Validierungstests,"Kombinierter Validierungstest für Visualisierung, KI-Steuerung und ML-Module",Beispiele & Tests,"Analyse, Core, Visualisierung",Test
🧪 Modul K-M: Validierungstests,"Kombinierter Validierungstest für Frontend, Data Pipelines und MCP Integration",Beispiele & Tests,Erweitert,Test
🧪 Modul F-J: Validierungstests,"Kombinierter Validierungstest für Dokumentation, Testing, Database, Security und DevOps",Beispiele & Tests,Erweitert,Test
Production MCP Server - Vollständige Implementation,Produktionsreifer MCP Server mit vollständiger CompText-Implementation,Modul M: MCP Integration,"Core, Erweitert",Dokumentation
Module Implementation - Modul A-D (Code),Vollständige Python-Implementation der Module A-D,Modul M: MCP Integration,"Core, Erweitert",Beispiel
Module Implementation - Modul E-H (Code),Vollständige Python-Implementation der Module E-H,Modul M: MCP Integration,"Analyse, Erweitert",Beispiel
Module Implementation - Modul I-M (Code),"Vollständige Python-Implementation der Module I-M (Security, DevOps, Frontend, Data, MCP)",Modul M: MCP Integration,Erweitert,Beispiel
Complete Test Suite - Alle Module,Vollständige pytest Test-Suite für alle 13 Module mit 100% Coverage,Modul M: MCP Integration,"Core, Erweitert",Test
Ollama WebUI Config für CompText MCP,Fertige Konfiguration für Ollama WebUI + CompText MCP Server Integration,Modul M: MCP Integration,Core,Dokumentation
README.md - CompText MCP Production,"Vollständige README für GitHub Repository mit Installation, Usage und Contribution Guide",Modul M: MCP Integration,Core,Dokumentation
GitHub Actions CI/CD Pipeline,"Vollständige CI/CD Pipeline mit Tests, Coverage, Docker Build und Release",Modul M: MCP Integration,"Core, Erweitert",Beispiel
Kubernetes Helm Charts,Production-ready Helm Charts für Kubernetes Deployment,Modul M: MCP Integration,Erweitert,Beispiel